DATA:           	LANG:   	MIN_C:  	MAX_F:  	   NIST:	   BLUE:	NAME:
presemt-dev     	no-en   	      50	0.500000	  4.2423	  0.0959	centroid_presemt-dev_no-en_min_count=50_max_freq=0.500000
presemt-dev     	no-en   	      50	1.000000	  4.2423	  0.0959	centroid_presemt-dev_no-en_min_count=50_max_freq=1.000000
presemt-dev     	no-en   	     100	0.000100	  4.4619	  0.1051	centroid_presemt-dev_no-en_min_count=100_max_freq=0.000100
presemt-dev     	no-en   	     100	0.001000	  4.4647	  0.1051	centroid_presemt-dev_no-en_min_count=100_max_freq=0.001000
presemt-dev     	no-en   	     100	0.005000	  4.3196	  0.0967	centroid_presemt-dev_no-en_min_count=100_max_freq=0.005000
presemt-dev     	no-en   	     100	0.010000	  4.1836	  0.0911	centroid_presemt-dev_no-en_min_count=100_max_freq=0.010000
presemt-dev     	no-en   	     100	0.050000	  4.2433	  0.0939	centroid_presemt-dev_no-en_min_count=100_max_freq=0.050000
presemt-dev     	no-en   	     100	0.100000	  4.2683	  0.0965	centroid_presemt-dev_no-en_min_count=100_max_freq=0.100000
presemt-dev     	no-en   	     100	0.250000	  4.2267	  0.0957	centroid_presemt-dev_no-en_min_count=100_max_freq=0.250000
presemt-dev     	no-en   	     100	0.500000	  4.2327	  0.0958	centroid_presemt-dev_no-en_min_count=100_max_freq=0.500000
presemt-dev     	no-en   	     100	1.000000	  4.2327	  0.0958	centroid_presemt-dev_no-en_min_count=100_max_freq=1.000000
presemt-dev     	no-en   	     250	0.000100	  4.4619	  0.1051	centroid_presemt-dev_no-en_min_count=250_max_freq=0.000100
presemt-dev     	no-en   	     250	0.001000	  4.4619	  0.1051	centroid_presemt-dev_no-en_min_count=250_max_freq=0.001000
presemt-dev     	no-en   	     250	0.005000	  4.4484	  0.1049	centroid_presemt-dev_no-en_min_count=250_max_freq=0.005000
presemt-dev     	no-en   	     250	0.010000	  4.3223	  0.0991	centroid_presemt-dev_no-en_min_count=250_max_freq=0.010000
presemt-dev     	no-en   	     250	0.050000	  4.2135	  0.0930	centroid_presemt-dev_no-en_min_count=250_max_freq=0.050000
presemt-dev     	no-en   	     250	0.100000	  4.2359	  0.0964	centroid_presemt-dev_no-en_min_count=250_max_freq=0.100000
presemt-dev     	no-en   	     250	0.250000	  4.2044	  0.0946	centroid_presemt-dev_no-en_min_count=250_max_freq=0.250000
presemt-dev     	no-en   	     250	0.500000	  4.2103	  0.0947	centroid_presemt-dev_no-en_min_count=250_max_freq=0.500000
presemt-dev     	no-en   	     250	1.000000	  4.2103	  0.0947	centroid_presemt-dev_no-en_min_count=250_max_freq=1.000000
presemt-dev     	no-en   	    1000	0.000100	  4.4619	  0.1051	centroid_presemt-dev_no-en_min_count=1000_max_freq=0.000100
presemt-dev     	no-en   	    1000	0.001000	  4.4619	  0.1051	centroid_presemt-dev_no-en_min_count=1000_max_freq=0.001000
presemt-dev     	no-en   	    1000	0.005000	  4.4619	  0.1051	centroid_presemt-dev_no-en_min_count=1000_max_freq=0.005000
presemt-dev     	no-en   	    1000	0.010000	  4.4619	  0.1051	centroid_presemt-dev_no-en_min_count=1000_max_freq=0.010000
presemt-dev     	no-en   	    1000	0.050000	  4.2773	  0.0934	centroid_presemt-dev_no-en_min_count=1000_max_freq=0.050000
presemt-dev     	no-en   	    1000	0.100000	  4.1561	  0.0913	centroid_presemt-dev_no-en_min_count=1000_max_freq=0.100000
presemt-dev     	no-en   	    1000	0.250000	  4.1907	  0.0923	centroid_presemt-dev_no-en_min_count=1000_max_freq=0.250000
presemt-dev     	no-en   	    1000	0.500000	  4.1967	  0.0924	centroid_presemt-dev_no-en_min_count=1000_max_freq=0.500000
presemt-dev     	no-en   	    1000	1.000000	  4.1967	  0.0924	centroid_presemt-dev_no-en_min_count=1000_max_freq=1.000000
presemt-dev     	no-en   	    2500	0.000100	  4.4619	  0.1051	centroid_presemt-dev_no-en_min_count=2500_max_freq=0.000100
presemt-dev     	no-en   	    2500	0.001000	  4.4619	  0.1051	centroid_presemt-dev_no-en_min_count=2500_max_freq=0.001000
presemt-dev     	no-en   	    2500	0.005000	  4.4619	  0.1051	centroid_presemt-dev_no-en_min_count=2500_max_freq=0.005000
presemt-dev     	no-en   	    2500	0.010000	  4.4619	  0.1051	centroid_presemt-dev_no-en_min_count=2500_max_freq=0.010000
presemt-dev     	no-en   	    2500	0.050000	  4.4439	  0.1037	centroid_presemt-dev_no-en_min_count=2500_max_freq=0.050000
presemt-dev     	no-en   	    2500	0.100000	  4.2504	  0.0921	centroid_presemt-dev_no-en_min_count=2500_max_freq=0.100000
presemt-dev     	no-en   	    2500	0.250000	  4.1695	  0.0891	centroid_presemt-dev_no-en_min_count=2500_max_freq=0.250000
presemt-dev     	no-en   	    2500	0.500000	  4.1636	  0.0890	centroid_presemt-dev_no-en_min_count=2500_max_freq=0.500000
presemt-dev     	no-en   	    2500	1.000000	  4.1636	  0.0890	centroid_presemt-dev_no-en_min_count=2500_max_freq=1.000000
presemt-dev     	no-en   	    5000	0.000100	  4.4619	  0.1051	centroid_presemt-dev_no-en_min_count=5000_max_freq=0.000100
presemt-dev     	no-en   	    5000	0.001000	  4.4619	  0.1051	centroid_presemt-dev_no-en_min_count=5000_max_freq=0.001000
presemt-dev     	no-en   	    5000	0.005000	  4.4619	  0.1051	centroid_presemt-dev_no-en_min_count=5000_max_freq=0.005000
presemt-dev     	no-en   	    5000	0.010000	  4.4619	  0.1051	centroid_presemt-dev_no-en_min_count=5000_max_freq=0.010000
presemt-dev     	no-en   	    5000	0.050000	  4.4619	  0.1051	centroid_presemt-dev_no-en_min_count=5000_max_freq=0.050000
presemt-dev     	no-en   	    5000	0.100000	  4.4399	  0.1040	centroid_presemt-dev_no-en_min_count=5000_max_freq=0.100000
presemt-dev     	no-en   	    5000	0.250000	  4.3956	  0.1001	centroid_presemt-dev_no-en_min_count=5000_max_freq=0.250000
presemt-dev     	no-en   	    5000	0.500000	  4.3956	  0.1001	centroid_presemt-dev_no-en_min_count=5000_max_freq=0.500000
presemt-dev     	no-en   	    5000	1.000000	  4.3956	  0.1001	centroid_presemt-dev_no-en_min_count=5000_max_freq=1.000000
presemt-dev     	no-de   	       1	0.000100	  4.2478	  0.0836	centroid_presemt-dev_no-de_min_count=1_max_freq=0.000100
presemt-dev     	no-de   	       1	0.001000	  4.3678	  0.0880	centroid_presemt-dev_no-de_min_count=1_max_freq=0.001000
presemt-dev     	no-de   	       1	0.005000	  4.4115	  0.0873	centroid_presemt-dev_no-de_min_count=1_max_freq=0.005000
presemt-dev     	no-de   	       1	0.010000	  4.4533	  0.0911	centroid_presemt-dev_no-de_min_count=1_max_freq=0.010000
presemt-dev     	no-de   	       1	0.050000	  4.3656	  0.0824	centroid_presemt-dev_no-de_min_count=1_max_freq=0.050000
presemt-dev     	no-de   	       1	0.100000	  4.4166	  0.0880	centroid_presemt-dev_no-de_min_count=1_max_freq=0.100000
presemt-dev     	no-de   	       1	0.250000	  4.4006	  0.0860	centroid_presemt-dev_no-de_min_count=1_max_freq=0.250000
